Additional file 4 L-DMR IDOL library ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,chr,start,end,Cell_min,cell_max,cell_mean,Cell_deconv,CD8T,CD4T,NK,Bcell,Mono,Neu,Type,Probe_rs,Probe_maf,CpG_rs,CpG_maf,SBE_rs,SBE_maf,Islands_Name,Relation_to_Island,UCSC_RefGene_Name,Phantom4_Enhancers,Phantom5_Enhancers,DNase_Hypersensitivity_NAME,DNase_Hypersensitivity_Evidence_Count,Methyl27_Loci,Methyl450_Loci,function_group,distance,nearestGeneSymbol,nearestTranscript
cg00133995,chr19,16452851,16452852,0.035982743,0.298786174,0.119687986,CD4T,0.129519237,0.298786174,0.108926065,0.035982743,0.040495344,0.104418354,II,NA,NA,NA,NA,NA,NA,,OpenSea,,,chr19:16452764-16452764,,,,,Intergenic,93254,EPS15L1,uc002neb.1
cg00219921,chr2,87012810,87012811,0.133675853,0.943263441,0.77759921,CD8T,0.133675853,0.807195992,0.915346342,0.943263441,0.936358504,0.92975513,II,rs7563771,0.016942,NA,NA,NA,NA,chr2:87015974-87018182,N_Shelf,CD8A;CD8A;CD8A;CD8A,,,chr2:87012745-87013015,3,,TRUE,3'UTR,6025,CD8A,uc002srt.3
cg00225157,chr6,33173038,33173039,0.204290305,0.424194609,0.358077264,CD8T,0.204290305,0.322681811,0.404319269,0.372835889,0.420141703,0.424194609,II,NA,NA,NA,NA,NA,NA,chr6:33172289-33172823,S_Shore,HSD17B8,,,chr6:33172540-33173790,3,,TRUE,Body,623,HSD17B8,uc003odi.2
cg00297099,chr6,365158,365159,0.056593412,0.922111721,0.773037887,Bcell,0.919938822,0.914969158,0.913793662,0.056593412,0.922111721,0.910820544,II,NA,NA,rs2671416,0.22963,NA,NA,,OpenSea,,,,chr6:364505-365235,3,,,Intergenic,26579,IRF4,uc010jne.2
cg00298230,chr3,66352837,66352838,0.076163694,0.911243453,0.433721393,Mono,0.334685575,0.255856959,0.076163694,0.390326764,0.911243453,0.634051915,II,NA,NA,NA,NA,NA,NA,,OpenSea,SLC25A26;SLC25A26;SLC25A26,,chr3:66352729-66352729,chr3:66352745-66353075,3,,,Body,101995,LRIG1,uc011bfu.2
cg00379635,chr2,25635205,25635206,0.302466761,0.908163819,0.755095984,NK,0.797051968,0.824169773,0.302466761,0.908163819,0.862029802,0.836693782,II,NA,NA,NA,NA,NA,NA,,OpenSea,DTNB;DTNB;DTNB;DTNB;DTNB;DTNB;DTNB;DTNB,,,,,,,Body,370231,EFR3B,uc002rfw.2
cg00458681,chr22,19010419,19010420,0.05533856,0.774317918,0.261996022,Bcell,0.070448568,0.05533856,0.144193948,0.774317918,0.365850473,0.161826667,II,NA,NA,NA,NA,NA,NA,,OpenSea,DGCR10,,,chr22:19010380-19010775,3,,TRUE,Body,281,DGCR10,uc011agq.2
cg00467292,chr10,89420629,89420630,0.262849188,0.879804847,0.745140043,NK,0.85904906,0.796445412,0.262849188,0.879804847,0.835409657,0.837282095,II,NA,NA,NA,NA,NA,NA,chr10:89419346-89420027,S_Shore,PAPSS2;PAPSS2,,,chr10:89420565-89420795,3,,,Body,1152,PAPSS2,uc001kew.3
cg00475745,chr17,64633793,64633794,0.448515283,0.937973966,0.842760865,NK,0.876283115,0.926625297,0.448515283,0.937042969,0.937973966,0.930124559,II,NA,NA,NA,NA,NA,NA,,OpenSea,PRKCA,,,chr17:64633685-64633950,3,,,Body,408236,APOH,uc002jfn.4
cg00482026,chr7,133049843,133049844,0.081099193,0.933462945,0.77687389,NK,0.872952194,0.923160064,0.081099193,0.933462945,0.927064463,0.923504482,II,NA,NA,NA,NA,NA,NA,,OpenSea,EXOC4;EXOC4,,,chr7:133049700-133049895,3,,,Body,283014,CHCHD3,uc003vre.3
